	gene_symbol	1.11
202215_s_at	NFYC	0.000109828064625
65591_at	WDR48	-0.000110384513197
217665_at	ZNF813	0.00011083768932
211173_at	CCKAR	-0.000110916116381
208283_at	GAGE1	0.000111173511924
201266_at	TXNRD1	0.000111284301584
217275_at	TSSK2	0.000111413564925
207940_x_at	CNR1	0.000112002874122
201067_at	PSMC2	-0.000112261420237
201651_s_at	PACSIN2	-0.000112306804713
217209_at	CEACAM3	-0.000112368320103
208943_s_at	SEC62	0.000112678086671
43511_s_at	-666	-0.000112709132403
207638_at	TMPRSS15	0.000112764552788
212869_x_at	TPT1	0.000113983127229
203426_s_at	IGFBP5	0.000114257578237
212670_at	ELN	0.000114349167956
213882_at	TM2D1	-0.00011491923295
204289_at	-666	-0.000115142934245
214279_s_at	NDRG2	0.000115553545159
218351_at	COMMD8	0.000115674592764
205223_at	DEPDC5	-0.000115712350344
214610_at	CYP11B1	-0.000115931922432
214708_at	SNTB1	0.00011610944432
207976_at	KLHL18	-0.000116544877651
211103_at	MYO7A	0.000116752950267
208836_at	ATP1B3	0.000116980137718
216845_x_at	MLL2	0.000117372942024
221573_at	-666	0.000117461212829
215363_x_at	FOLH1	-0.000117509051174
216371_at	-666	-0.000117555704296
210689_at	CLDN14	0.00011774620444
213140_s_at	SS18L1	-0.000119186966801
221379_at	-666	-0.000119731718923
208224_at	HOXB1	0.000119787940064
218015_s_at	WRNIP1	0.000119826369003
207854_at	GYPE	-0.000119928949113
213375_s_at	N4BP2L1	0.000120000565584
208167_s_at	MMP16	-0.000120719118691
203245_s_at	LINC00094	0.000121127957045
207415_at	PLA2R1	0.000121237614816
216545_at	-666	-0.000121444622994
202116_at	DPF2	-0.000122074132246
205204_at	NMB	0.000122389194288
210942_s_at	ST3GAL6	-0.000122688707469
202119_s_at	CPNE3	0.00012270237923
206873_at	CA6	0.000122902763128
221454_at	BOK	-0.000123243736173
221028_s_at	GFOD2	-0.00012329250545
201002_s_at	-666	0.0001236477371
218703_at	SEC22A	-0.000123877037534
217444_at	-666	0.000124060744648
219435_at	CTC1	-0.000124074766247
208526_at	OR2F1	-0.000124135347918
210109_at	C7ORF54	0.000124156219794
213197_at	ASTN1	-0.000124234496411
214166_at	SDHB	0.000124555446639
213918_s_at	NIPBL	0.000124756979658
210949_s_at	-666	-0.000124808658462
206629_at	ADAMTSL2	0.000125025999442
218074_at	FAM96B	0.000125821758297
207999_s_at	ADARB1	-0.000125896920906
204391_x_at	TRIM24	0.000126630398609
206118_at	STAT4	-0.000126681659898
211922_s_at	CAT	-0.000126805208668
210234_at	GRM4	-0.000126835493712
207557_s_at	RYR2	-0.000127610862892
213785_at	IPO9	-0.000127655421364
215630_at	-666	-0.000127869038333
213966_at	HMG20B	0.000127957793497
207880_at	ADAM11	-0.000128291794201
208709_s_at	NRD1	0.000128434115175
217643_x_at	-666	-0.00012876149246
211927_x_at	EEF1G	0.00012880575336
49327_at	SIRT3	-0.000129083229874
222009_at	CEMP1	0.000129318355714
200089_s_at	RPL4	0.000129322258535
214267_s_at	CADM4	-0.000129347121451
214547_at	ADCY10	0.000129825554062
220566_at	PIK3R5	0.000130478287542
215259_s_at	CADM4	0.000130550016409
213357_at	GTF2H5	-0.000130865765858
209572_s_at	EED	-0.000131723346871
202251_at	PRPF3	-0.000132129417768
217534_at	FAM49B	0.000132460788389
203695_s_at	DFNA5	-0.000132928725808
210060_at	PDE6G	0.000133071638276
218964_at	ARID3B	0.00013357388909
214796_at	KIAA1456	0.000133773899509
221143_at	RPA4	-0.000133826310225
32540_at	-666	0.000134110312209
204494_s_at	C15ORF39	-0.000134254198663
206863_x_at	-666	0.000134283584297
215938_s_at	PLA2G6	-0.000134646508643
213591_at	ALDH7A1	0.000135111849331
217874_at	SUCLG1	0.000135205797896
218456_at	CAPRIN2	0.000135880968386
220439_at	RIN3	-0.000136034595368
203985_at	ZNF212	-0.000136049006938
207161_at	KIAA0087	-0.000136050678212
215930_s_at	CTAGE5	-0.000136099470011
214244_s_at	ATP6V0E1	-0.000136460302101
202171_at	VEZF1	0.000136895499973
201126_s_at	MGAT1	-0.000136919407264
221304_at	-666	0.000137661921245
48808_at	DHFR	0.000137946438024
215298_at	-666	-0.000138250819466
203738_at	C5ORF22	-0.000138305167879
217371_s_at	IL15	-0.000138520496732
211327_x_at	HFE	-0.000138641577749
212515_s_at	DDX3X	-0.000138701032413
204516_at	ATXN7	0.000138764364581
210472_at	MT1G	0.000138811561321
215895_x_at	PLIN2	0.000138859665301
217858_s_at	ARMCX3	-0.000139089660413
209154_at	TAX1BP3	-0.00013937336793
206402_s_at	NPFF	-0.000139376251812
217484_at	CR1	-0.000139633539327
211705_s_at	SORBS1	0.00013978389153
217637_at	-666	0.000139822366351
216001_at	PRAMEF12	-0.00014051361352
208265_at	C2ORF83	-0.000140543589663
208996_s_at	POLR2C	0.000140703510591
218464_s_at	C17ORF63	0.000140805439239
218244_at	NOL8	0.000141855854002
207751_at	-666	-0.000142411800891
212519_at	UBE2E1	-0.000142603385271
216304_x_at	YME1L1	-0.000143277093225
207420_at	COLEC10	0.000143406011458
206870_at	PPARA	-0.000143940054384
218608_at	ATP13A2	-0.000144192375794
216700_at	TRIO	-0.000144271060155
221175_at	C3ORF36	-0.000144735777867
220481_at	GPR75	0.000144964739047
214568_at	TPSD1	-0.000145658659022
206947_at	B3GALT5	0.000145916462009
210412_at	GRIN2B	-0.00014636416842
215413_at	EXOC7	-0.000146671414705
218961_s_at	PNKP	-0.000146854975069
212850_s_at	LRP4	-0.000146992210812
220555_s_at	PDZD7	0.000147040029156
210657_s_at	SEPT4	-0.00014721455932
214759_at	WTAP	-0.000147289530357
216811_at	-666	-0.000147904667653
221642_at	-666	-0.000148501011876
213137_s_at	PTPN2	-0.000148753099806
204530_s_at	TOX	-0.000149001510312
213839_at	CLMN	-0.000149482741218
206958_s_at	UPF3A	-0.000150489668008
202427_s_at	BRP44	0.000150632903677
1316_at	THRA	-0.000150652300327
220417_s_at	THAP4	0.00015077529164
217052_x_at	-666	0.000150923057283
211440_x_at	CYP3A43	-0.000150957461766
222176_at	PTEN	-0.000151426774552
217338_at	KRT19P2	-0.00015159578979
201547_at	KDM5B	0.000151742970319
210757_x_at	DAB2	0.000151839846283
216925_s_at	TAL1	-0.00015190064376
204227_s_at	TK2	-0.000151962602926
217847_s_at	THRAP3	0.000152090781492
202175_at	CHPF	-0.00015214202234
217930_s_at	TOLLIP	0.000152165032154
206959_s_at	UPF3A	-0.000152182131112
201647_s_at	SCARB2	-0.000152243274935
203950_s_at	CLCN6	-0.000152301185667
214965_at	SPATA2L	0.000152436771293
216790_at	-666	0.000153254852644
207540_s_at	SYK	-0.000153324649527
209432_s_at	CREB3	0.000153579699232
215403_at	-666	0.000154077639114
207287_at	FLJ14107	-0.000154192507881
213901_x_at	RBFOX2	-0.000154421993089
212506_at	PICALM	-0.00015483468733
208084_at	ITGB6	-0.000155136230583
204889_s_at	NEURL	-0.000156506503193
222263_at	SLC35E1	-0.000156529888956
