concentration,MCF10A-GM_(Broad)_72_R1,MCF10A-GM_(HMS)_72_R1,MCF10A-H2B_(HMS)_72_R1,MCF10A-HMS_(HMS)_72_R1,MCF10A-OHSU_(HMS)_72_R1,MCF10A-GM_(HMS)_72_R2,MCF10A-H2B_(HMS)_72_R2,MCF10A-HMS_(HMS)_72_R2,MCF10A-OHSU_(HMS)_72_R2,MCF10A-GM_(HMS)_72_R3,MCF10A-H2B_(HMS)_72_R3,MCF10A-HMS_(HMS)_72_R3,MCF10A-OHSU_(HMS)_72_R3,MCF10A-GM_(DToxS)_72_R1,MCF10A-GM_(DToxS)_72_R2,MCF10A-GM_(Neuro)_72_R1,MCF10A-GM_(Neuro)_72_R2,MCF10A-GM_(Neuro)_72_R3,MCF10A-GM_(MEP)_72_R1,MCF10A-GM_(MEP)_72_R2,Median
3.54813389234,0.556560263084,0.505144481892,0.220221621827,0.154616839519,0.350028624502,0.377397539846,0.235722210677,0.186823485717,0.379489205229,0.441277246757,0.426002053302,0.171656345556,0.40799907456,0.370017906747,0.278669358666,1.0,1.0,1.0,0.771510234227,0.800821097716,0.800821097716
3.98107170553,0.54162397528,0.492097925829,0.211257768851,0.150029687326,0.336554156878,0.374385072546,0.234250497714,0.185636608737,0.37143352223,0.432777385268,0.423834303554,0.165282402199,0.402088541605,0.369037876189,0.273148876022,1.0,1.0,1.0,0.771498819607,0.800033094093,0.800033094093
4.46683592151,0.526962466426,0.479866248857,0.203078897768,0.145832026538,0.323967704766,0.371839225414,0.233049272775,0.184633035686,0.364251890949,0.425185348189,0.422042357974,0.159276248147,0.396932814098,0.368190516982,0.267870656099,1.0,1.0,1.0,0.771491714239,0.799338495427,0.799338495427
5.01187233627,0.512617426208,0.468447844986,0.195632135668,0.141994351207,0.31224987928,0.369690757386,0.232069456704,0.183784811951,0.357868063228,0.418427260474,0.420562862145,0.153622106173,0.392446833737,0.367458158827,0.262827900678,1.0,1.0,1.0,0.771487291426,0.798726783703,0.798726783703
5.6234132519,0.498626629965,0.457831422136,0.188865079966,0.138488767102,0.301374548234,0.367879802008,0.231270661311,0.183068143741,0.352208060757,0.412429753097,0.419342559,0.148304166395,0.388552159975,0.366825410714,0.258013601947,1.0,1.0,1.0,0.771484538452,0.798188496994,0.798188496994
6.3095734448,0.485023628735,0.447997497597,0.182726513682,0.135289019533,0.291310180316,0.366354871074,0.230619723261,0.182462808459,0.34720130242,0.40712155144,0.418336871763,0.143306698944,0.385177292719,0.366278886036,0.253420594484,1.0,1.0,1.0,0.771482824886,0.797715153928,0.797715153928
7.07945784384,0.471837539687,0.438919900714,0.177166958129,0.132370493399,0.282021109434,0.365071875756,0.230089460087,0.181951639899,0.342781366651,0.402434626036,0.417508619855,0.138614151372,0.382257684135,0.365806955831,0.249041603158,1.0,1.0,1.0,0.7714817583,0.797299175684,0.797299175684
7.94328234724,0.459092935405,0.43056722137,0.172139082286,0.129710190971,0.273468691475,0.363993200467,0.229657623726,0.18152008143,0.33888645389,0.39830497075,0.416826880432,0.134211231715,0.379735529919,0.365399528661,0.244869286962,1.0,1.0,1.0,0.771481094421,0.796933808202,0.796933808202
8.91250938134,0.446809827085,0.422904158495,0.1675979888,0.127286692244,0.265612336207,0.363086849545,0.229306026123,0.181155800075,0.33545961057,0.394673075044,0.416265995338,0.130082978224,0.377559413182,0.365047855271,0.240896278808,1.0,1.0,1.0,0.771480681201,0.79661304653,0.79661304653
10.0,0.435003733928,0.415892737709,0.16350139614,0.12508010201,0.25841040602,0.362325676233,0.229019812478,0.180848354518,0.332448769766,0.391484153479,0.415804715526,0.126214816836,0.37568385799,0.364744356002,0.237115221397,1.0,1.0,1.0,0.771480424,0.796331562619,0.796331562619
